candidate_name,season_name,age_raw,gender_normalized,profession_raw,profession_normalized,profession_category,physical_search_query_1,physical_search_query_2,physical_search_query_3,explicit_sport_activity,sport_name,sport_frequency,sport_intensity,competition_level,years_of_practice,physical_job_evidence,other_physical_evidence,physical_source_url_1,physical_source_excerpt_1,physical_source_quality_1,physical_source_url_2,physical_source_excerpt_2,physical_source_quality_2,evidence_status,manual_review_required,research_notes,physical_score,physical_score_justification,physical_score_sources,physical_score_confidence,physical_score_reviewer_status,physical_score_based_on_profession_only,physical_evidence_strength,physical_evidence_count,manual_research_required,manual_research_priority,manual_research_request,manual_research_result,manual_research_source_url,manual_research_source_excerpt,manual_research_review_status,physical_score_definition_version,physical_zero_reason,physical_positive_reason,documented_muscular_build,muscularity_evidence_text,muscularity_source_url,muscularity_source_quality,muscularity_evidence_period,muscularity_reviewer_status,manual_evidence_source_url,manual_evidence_source_title,manual_evidence_exact_excerpt,manual_evidence_added_by,manual_source_complete,physical_freeze_ready,physical_score_source_status,manual_source_validation_note
Julien Castro,Koh-Lanta : Thaïlande,29,MALE,Menuisier,Menuisier,MANUEL_TECHNIQUE,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,0,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,MEDIUM,VALIDATED,False,INSUFFICIENT,0,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,NO_QUALIFYING_PHYSICAL_INDICATOR,,False,,,,,,,,,,True,True,,
Laureen Hugel,Koh-Lanta : Thaïlande,26,FEMALE,Étudiante en mode et création,Étudiante en mode et création,ETUDIANT,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,0,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,MEDIUM,VALIDATED,False,INSUFFICIENT,0,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,NO_QUALIFYING_PHYSICAL_INDICATOR,,False,,,,,,,,,,True,True,,
Steve Best,Koh-Lanta : Thaïlande,33,MALE,Entrepreneur textile,Entrepreneur dans le textile,COMMERCE_GESTION,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,0,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,MEDIUM,VALIDATED,False,INSUFFICIENT,0,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,NO_QUALIFYING_PHYSICAL_INDICATOR,,False,,,,,,,,,,True,True,,
Carine Cazals,Koh-Lanta : Thaïlande,34,FEMALE,Gestionnaire de stock dans la fibre optique et gendarme réserviste,Gestionnaire de stock,MANUEL_TECHNIQUE,,,,"Badminton compétition + 12-15h/semaine (natation, vélo, muscu, rando)",Badminton / natation / vélo / musculation / randonnée,12 à 15 heures par semaine,Soutenue,Badminton en compétition,,,,https://www.ladepeche.fr/article/2016/02/12/2275269-carine-koh-lanta-m-a-permis-de-repousser-mes-limites.html,"Elle pratique le badminton en compétition. L'Albigeoise fait 12 à 15 heures d'activités physiques par semaine : natation, vélo, musculation, randonnée.",DIRECT_INTERVIEW,,,,SUFFICIENT_EVIDENCE,,Score fondé sur volume hebdomadaire explicite et pratique compétitive.,1,Badminton en compétition et 12-15h hebdomadaires d'activités physiques.,https://www.ladepeche.fr/article/2016/02/12/2275269-carine-koh-lanta-m-a-permis-de-repousser-mes-limites.html,HIGH,VALIDATED,False,STRONG,4,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,HIGH_PHYSICAL_TRAINING,False,,,,,,,,,,True,True,,
Karima Neggaz,Koh-Lanta : Thaïlande,26,FEMALE,"Militaire de carrière, sergent",Militaire,SPORT_SECURITE,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,1,"Militaire de carrière, entraînée, pratique de course à pied.",,MEDIUM,VALIDATED,True,STRONG,3,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,DIRECT_PHYSICAL_PROFESSION,False,,,,,,,,,,True,True,,
Nicolas Rouyé,Koh-Lanta : Thaïlande,32,MALE,Mannequin,Mannequin,ART_MEDIA_COMMUNICATION,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,La date exacte n'était pas visible dans l'extrait transmis. La confiance reste MEDIUM en raison du ton promotionnel des formulations employées.,1,Nicolas est décrit par un article de presse comme ayant un corps d'Apollon et comme étant sculpté par les sports de glisse. Cette description textuelle explicite justifie son classement dans le groupe présentant un profil physique supérieur à la moyenne.,,MEDIUM,VALIDATED,False,STRONG,2,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,MUSCULAR_BUILD,True,"Un article local le décrit comme « sculpté par les sports de glisse », avec un « corps d'Apollon » et un physique plutôt musclé.",https://www.charentelibre.fr/charente-maritime/jonzac/koh-lanta-nicolas-rouye-le-beau-robinson-charentais-a-ete-elimine-6131310,RECOGNIZED_PRESS,CONTEMPORARY_TO_SEASON,VALIDATED,https://www.charentelibre.fr/charente-maritime/jonzac/koh-lanta-nicolas-rouye-le-beau-robinson-charentais-a-ete-elimine-6131310,"Koh Lanta : Nicolas Rouyé, le beau Robinson charentais a été éliminé",Le beau gosse de la saison ; au corps d'Apollon ; sculpté par les sports de glisse.,USER,True,True,VERIFIED_SOURCE,
Alain Chrisostome,Koh-Lanta : Thaïlande,56,MALE,Employé en supermarché,Employé de supermarché,COMMERCE_GESTION,,,,Champion de pelote basque depuis toujours.,Pelote basque,,Soutenue,Champion de pelote,,,,https://survivor.fandom.com/wiki/Alain_Chrisostome,Il est aussi champion de pelote depuis toujours.,SECONDARY_DATABASE,,,,SUFFICIENT_EVIDENCE,,,1,"Champion de pelote depuis toujours, pratique compétitive durable.",https://survivor.fandom.com/wiki/Alain_Chrisostome | https://www.terrafemina.com/article/koh-lanta-2016-qui-sont-les-candidats-liste-complete_a301201/1,MEDIUM,VALIDATED,False,STRONG,2,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,STRENGTH_OR_COMBAT_SPORT,False,,,,,,,,,,True,True,,
Cécilia Siharaj,Koh-Lanta : Thaïlande,28,FEMALE,Danseuse,Danseuse professionnelle,ART_MEDIA_COMMUNICATION,,,,Danse professionnelle et arts martiaux.,Danse / arts martiaux,,Soutenue,,,,,https://www.tf1.fr/fr-ci/dossier/cecilia-kl-thailande-2016,"La petite danseuse est dure au mal. Poussée par son père à être la meilleure, notamment dans les arts martiaux.",OFFICIAL,,,,SUFFICIENT_EVIDENCE,,,1,Danseuse professionnelle et pratique des arts martiaux.,https://www.tf1.fr/fr-ci/dossier/cecilia-kl-thailande-2016,MEDIUM,A_REVOIR,True,STRONG,2,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,MULTIPLE_QUALIFYING_INDICATORS,False,,,,,,,,,,True,True,,
Gabriel Gubbels,Koh-Lanta : Thaïlande,40,MALE,Inspecteur de police,Inspecteur de police,SPORT_SECURITE,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,1,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,HIGH,VALIDATED,True,STRONG,1,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,DIRECT_PHYSICAL_PROFESSION,False,,,,,,,,,,True,True,,
Pascal Salviani,Koh-Lanta : Thaïlande,48,MALE,Dirige sa propre entreprise,Chef d'entreprise,COMMERCE_GESTION,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,0,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,MEDIUM,VALIDATED,False,INSUFFICIENT,0,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,NO_QUALIFYING_PHYSICAL_INDICATOR,,False,,,,,,,,,,True,True,,
Wendy Gervois,Koh-Lanta : Thaïlande,26,FEMALE,Boxeuse,Boxeuse,SPORT_SECURITE,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,1,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,HIGH,VALIDATED,True,STRONG,1,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,STRENGTH_OR_COMBAT_SPORT,False,,,,,,,,,,True,True,,
