candidate_season_key,season_id,season_name,candidate_name,age,gender_normalized,profession_normalized,physical_score,physical_score_justification,physical_score_sources,physical_positive_reason,physical_score_confidence,strict_review_decision,strict_review_reason,strict_review_source,strict_review_status
"KL13::nawal ""naouel"" hadjaf",KL13,Koh-Lanta : Raja Ampat,"Nawal ""Naouel"" Hadjaf",25.0,FEMALE,Footballeuse freestyle,1.0,"Elle a fait du football freestyle son métier et organise des spectacles, ce qui documente une pratique physique active supérieure à un profil ordinaire.",https://survivor.fandom.com/wiki/Naouel_Hadjaf | Naouel a fait de sa passion un métier : elle organise des spectacles de football freestyle.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL13::steve lemercier,KL13,Koh-Lanta : Raja Ampat,Steve Lemercier,24.0,MALE,Adjoint de sécurité dans la police nationale,1.0,Son activité d’adjoint de sécurité dans la police nationale relève d’une profession opérationnelle retenue par la méthodologie comme indicateur d’une bonne condition physique.,https://survivor.fandom.com/wiki/Steve_Lemercier | Profession : adjoint de sécurité dans la police nationale.,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL15::anthony,KL15,Koh-Lanta : Malaisie,Anthony,24.0,MALE,Plombier,1.0,Plombier : métier manuel directement physique selon la règle méthodologique retenue. Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/Anthony | Plombier : métier manuel directement physique selon la règle méthodologique retenue. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie | Tableau de saison : 24 ans, profession Plombier.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL15::camille,KL15,Koh-Lanta : Malaisie,Camille,18.0,FEMALE,Étudiante en STAPS,1.0,Étudiante en STAPS : formation supérieure directement consacrée aux activités physiques et sportives. Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/Camille | Étudiante en STAPS : formation supérieure directement consacrée aux activités physiques et sportives. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie | Tableau de saison : 18 ans, profession Étudiante en STAPS.",SPORT_EDUCATION,HIGH,,,,TO_REVIEW
KL15::javier [ n 3 ],KL15,Koh-Lanta : Malaisie,Javier [ N 3 ],39.0,MALE,Peintre en bâtiment,1.0,Peintre en bâtiment : métier manuel directement physique selon la règle méthodologique retenue. Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/Javier_Rodriguez | Peintre en bâtiment : métier manuel directement physique selon la règle méthodologique retenue. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie | Tableau de saison : 39 ans, profession Peintre en bâtiment.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL15::marylou,KL15,Koh-Lanta : Malaisie,Marylou,22.0,FEMALE,Hôtesse de l’air,1.0,Ancienne membre de l’équipe de France de taekwondo jusqu’à 19 ans. Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/Marylou | Ancienne membre de l’équipe de France de taekwondo jusqu’à 19 ans. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie | Tableau de saison : 22 ans, profession Hôtesse de l’air.",COMPETITIVE_SPORT_BACKGROUND,HIGH,,,,TO_REVIEW
KL15::sara [ n 1 ],KL15,Koh-Lanta : Malaisie,Sara [ N 1 ],42.0,FEMALE,Gérante d’un club de fitness,1.0,Gérante d’un club de fitness : activité professionnelle directement liée à l’entraînement physique. Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/Sara_Tallon | Gérante d’un club de fitness : activité professionnelle directement liée à l’entraînement physique. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie | Tableau de saison : 42 ans, profession Gérante d’un club de fitness.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL15::vanessa,KL15,Koh-Lanta : Malaisie,Vanessa,37.0,FEMALE,Ostréicultrice,1.0,Ostréicultrice : métier manuel de terrain directement physique selon la règle méthodologique retenue. Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/Vanessa | Ostréicultrice : métier manuel de terrain directement physique selon la règle méthodologique retenue. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Malaisie | Tableau de saison : 37 ans, profession Ostréicultrice.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL17::babeth delettre,KL17,Koh-Lanta : Johor,Babeth Delettre,52.0,FEMALE,Agricultrice,1.0,Agricultrice : métier manuel de terrain directement physique selon la règle méthodologique retenue. Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/Babeth_Delettre | Agricultrice : métier manuel de terrain directement physique selon la règle méthodologique retenue. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Johor | Tableau de saison : 52 ans, profession Agricultrice.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL17::chantel ménard,KL17,Koh-Lanta : Johor,Chantel Ménard,45.0,FEMALE,Styliste,1.0,"Triple championne du monde de kickboxing, selon son portrait officiel. Cet élément satisfait le critère binaire positif.","https://survivor.fandom.com/wiki/Chantal_M%C3%A9nard | Triple championne du monde de kickboxing, selon son portrait officiel. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Johor | Tableau de saison : 45 ans, profession Styliste.",ELITE_COMPETITIVE_SPORT,HIGH,,,,TO_REVIEW
KL17::christophe pendon,KL17,Koh-Lanta : Johor,Christophe Pendon,30.0,MALE,Entrepreneur dans l’événementiel,1.0,Le portrait le décrit comme passionné de sports de combat et habitué à dépasser ses limites. Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/Christophe_Pendon | Le portrait le décrit comme passionné de sports de combat et habitué à dépasser ses limites. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Johor | Tableau de saison : 30 ans, profession Entrepreneur dans l’événementiel.",HIGH_PHYSICAL_TRAINING,HIGH,,,,TO_REVIEW
KL17::isabelle haouzi,KL17,Koh-Lanta : Johor,Isabelle Haouzi,54.0,FEMALE,Professeure de danse,1.0,Professeure de danse : activité professionnelle directement physique et sportive. Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/Isabelle_Haouzi | Professeure de danse : activité professionnelle directement physique et sportive. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Johor | Tableau de saison : 54 ans, profession Professeure de danse.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL17::mélissa bastin,KL17,Koh-Lanta : Johor,Mélissa Bastin,28.0,FEMALE,Assistante administrative et professeure de danse,1.0,"Elle dispense des cours de danse après son travail, ce qui documente une pratique physique régulière d’enseignement. Cet élément satisfait le critère binaire positif.","https://survivor.fandom.com/wiki/M%C3%A9lissa_Bastin | Elle dispense des cours de danse après son travail, ce qui documente une pratique physique régulière d’enseignement. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Johor | Tableau de saison : 28 ans, profession Assistante administrative et professeure de danse.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL17::sébastien ballesteros,KL17,Koh-Lanta : Johor,Sébastien Ballesteros,25.0,MALE,Diplômé en agroalimentaire,1.0,Le portrait officiel le décrit explicitement comme un « sportif aguerri ». Cet élément satisfait le critère binaire positif.,"https://survivor.fandom.com/wiki/S%C3%A9bastien_Ballesteros | Le portrait officiel le décrit explicitement comme un « sportif aguerri ». || https://survivor.fandom.com/wiki/Koh-Lanta%3A_Johor | Tableau de saison : 25 ans, profession Diplômé en agroalimentaire.",HIGH_PHYSICAL_TRAINING,HIGH,,,,TO_REVIEW
KL18::alain chrisostome,KL18,Koh-Lanta : Thaïlande,Alain Chrisostome,56.0,MALE,Employé de supermarché,1.0,,,STRENGTH_OR_COMBAT_SPORT,MEDIUM,,,,TO_REVIEW
KL18::carine cazals,KL18,Koh-Lanta : Thaïlande,Carine Cazals,34.0,FEMALE,Gestionnaire de stock,1.0,,,HIGH_PHYSICAL_TRAINING,HIGH,,,,TO_REVIEW
KL18::carole poncelet,KL18,Koh-Lanta : Thaïlande,Carole Poncelet,51.0,FEMALE,Maître-nageuse et agente territoriale,1.0,,,HIGH_PHYSICAL_TRAINING,HIGH,,,,TO_REVIEW
KL18::cécilia siharaj,KL18,Koh-Lanta : Thaïlande,Cécilia Siharaj,28.0,FEMALE,Danseuse professionnelle,1.0,,,MULTIPLE_QUALIFYING_INDICATORS,MEDIUM,,,,TO_REVIEW
KL18::céline parat-yeghiayan,KL18,Koh-Lanta : Thaïlande,Céline Parat-Yeghiayan,44.0,FEMALE,Formatrice,1.0,,,ENDURANCE_TRAINING,HIGH,,,,TO_REVIEW
KL18::gabriel gubbels,KL18,Koh-Lanta : Thaïlande,Gabriel Gubbels,40.0,MALE,Inspecteur de police,1.0,,,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL18::huw francis,KL18,Koh-Lanta : Thaïlande,Huw Francis,38.0,MALE,Entrepreneur dans l'événementiel sportif,1.0,,,MULTIPLE_QUALIFYING_INDICATORS,HIGH,,,,TO_REVIEW
KL18::karima neggaz,KL18,Koh-Lanta : Thaïlande,Karima Neggaz,26.0,FEMALE,Militaire,1.0,,,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
"KL18::laurence ""lolo"" facione",KL18,Koh-Lanta : Thaïlande,"Laurence ""Lolo"" Facione",45.0,FEMALE,Maître-nageuse,1.0,,,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL18::nicolas rouyé,KL18,Koh-Lanta : Thaïlande,Nicolas Rouyé,32.0,MALE,Mannequin,1.0,,,MUSCULAR_BUILD,MEDIUM,,,,TO_REVIEW
KL18::romain palazzetti,KL18,Koh-Lanta : Thaïlande,Romain Palazzetti,28.0,MALE,Entrepreneur en domotique,1.0,,,MUSCULAR_BUILD,MEDIUM,,,,TO_REVIEW
KL18::wendy gervois,KL18,Koh-Lanta : Thaïlande,Wendy Gervois,26.0,FEMALE,Boxeuse,1.0,,,STRENGTH_OR_COMBAT_SPORT,HIGH,,,,TO_REVIEW
KL22::aliséa,KL22,Koh-Lanta : La Guerre des Chefs,Aliséa,20.0,FEMALE,"Étudiante en STAPS, spécialité athlétisme",1.0,"Étudiante en STAPS, spécialité athlétisme : formation et pratique directement sportives. Cet élément satisfait le critère binaire positif.","https://survivor.fandom.com/wiki/Alis%C3%A9a_Lecomte | Étudiante en STAPS, spécialité athlétisme : formation et pratique directement sportives. || https://survivor.fandom.com/wiki/Koh-Lanta%3A_La_Guerre_des_Chefs | Tableau de saison : 20 ans, profession Étudiante en STAPS, spécialité athlétisme.",SPORT_EDUCATION_AND_ATHLETICS,HIGH,,,,TO_REVIEW
KL22::aurélien,KL22,Koh-Lanta : La Guerre des Chefs,Aurélien,23.0,MALE,Cascadeur,1.0,"Cascadeur : profession directement physique nécessitant entraînement, coordination et condition physique. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs | Cascadeur : profession directement physique nécessitant entraînement, coordination et condition physique.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL22::béatrice,KL22,Koh-Lanta : La Guerre des Chefs,Béatrice,28.0,FEMALE,Joueuse de football et styliste,1.0,"Elle est présentée comme joueuse de football, ce qui constitue une pratique sportive explicite. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs | Elle est présentée comme joueuse de football, ce qui constitue une pratique sportive explicite.",EXPLICIT_SPORT_ACTIVITY,HIGH,,,,TO_REVIEW
KL22::chloé,KL22,Koh-Lanta : La Guerre des Chefs,Chloé,32.0,FEMALE,Poissonnière,1.0,"Poissonnière : métier manuel impliquant manutention, station debout et travail physique régulier. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs | Poissonnière : métier manuel impliquant manutention, station debout et travail physique régulier.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL22::sophie,KL22,Koh-Lanta : La Guerre des Chefs,Sophie,34.0,FEMALE,Kitesurfeuse,1.0,Kitesurfeuse : activité sportive exigeante indiquée comme profession ou activité principale. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs | Kitesurfeuse : activité sportive exigeante indiquée comme profession ou activité principale.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL22::victor,KL22,Koh-Lanta : La Guerre des Chefs,Victor,25.0,MALE,Moniteur de parachutisme,1.0,Moniteur de parachutisme : profession directement liée à une activité physique et technique exigeante. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs | Moniteur de parachutisme : profession directement liée à une activité physique et technique exigeante.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL22::xavier,KL22,Koh-Lanta : La Guerre des Chefs,Xavier,53.0,MALE,Technico-commercial,1.0,Son portrait le décrit explicitement comme « très sportif ». Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_La_Guerre_des_Chefs | Son portrait le décrit explicitement comme « très sportif ».,EXPLICIT_ATHLETIC_PROFILE,HIGH,,,,TO_REVIEW
KL25::anne-sophie mounier,KL25,Koh-Lanta : Le Totem Maudit,Anne-Sophie Mounier,34.0,FEMALE,Coach sportive,1.0,Coach sportive : profession directement liée à l’entraînement physique. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Coach sportive : profession directement liée à l’entraînement physique.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL25::bastien san pedro,KL25,Koh-Lanta : Le Totem Maudit,Bastien San Pedro,32.0,MALE,Cordiste,1.0,"Cordiste et passionné d’escalade ; son métier implique travail en hauteur, force, endurance et maîtrise corporelle. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Cordiste et passionné d’escalade ; son métier implique travail en hauteur, force, endurance et maîtrise corporelle.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL25::franck macia,KL25,Koh-Lanta : Le Totem Maudit,Franck Macia,52.0,MALE,Entrepreneur en bâtiment,1.0,"Son portrait indique qu’il a été militaire et pompier, travaille dans la rénovation et le décrit comme sportif. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Son portrait indique qu’il a été militaire et pompier, travaille dans la rénovation et le décrit comme sportif.",MULTIPLE_QUALIFYING_INDICATORS,HIGH,,,,TO_REVIEW
KL25::françois descamp,KL25,Koh-Lanta : Le Totem Maudit,François Descamp,38.0,MALE,Pompier,1.0,Pompier : profession opérationnelle directement physique selon la méthodologie. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Pompier : profession opérationnelle directement physique selon la méthodologie.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL25::jean-charles chatelus,KL25,Koh-Lanta : Le Totem Maudit,Jean-Charles Chatelus,40.0,MALE,Fustier,1.0,Fustier : métier artisanal de construction en bois directement manuel et physique. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Fustier : métier artisanal de construction en bois directement manuel et physique.,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL25::jean-philippe masy,KL25,Koh-Lanta : Le Totem Maudit,Jean-Philippe Masy,36.0,MALE,Artisan peintre,1.0,Artisan peintre : métier manuel de chantier directement physique. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Artisan peintre : métier manuel de chantier directement physique.,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL25::mattéo real,KL25,Koh-Lanta : Le Totem Maudit,Mattéo Real,20.0,MALE,Danseur,1.0,"Danseur classique depuis l’enfance, formé à l’École de l’Opéra de Paris puis au Conservatoire. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Danseur classique depuis l’enfance, formé à l’École de l’Opéra de Paris puis au Conservatoire.",HIGH_PHYSICAL_TRAINING,HIGH,,,,TO_REVIEW
KL25::olga khokhlova,KL25,Koh-Lanta : Le Totem Maudit,Olga Khokhlova,35.0,FEMALE,Danseuse acrobate,1.0,"Danseuse acrobate : profession directement physique exigeant entraînement, force et coordination. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Danseuse acrobate : profession directement physique exigeant entraînement, force et coordination.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL25::samira aït-brahim,KL25,Koh-Lanta : Le Totem Maudit,Samira Aït-Brahim,34.0,FEMALE,Coach sportive,1.0,Coach sportive : profession directement liée à l’entraînement physique. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Coach sportive : profession directement liée à l’entraînement physique.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL25::yannick zachée,KL25,Koh-Lanta : Le Totem Maudit,Yannick Zachée,34.0,MALE,Basketteur,1.0,Basketteur : activité sportive pratiquée comme profession ou activité principale. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Le_Totem_Maudit | Basketteur : activité sportive pratiquée comme profession ou activité principale.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL26::julie,KL26,Koh-Lanta : Le Feu Sacré,Julie,33.0,FEMALE,Footballeuse,1.0,Sport exigeant documenté: Footballeuse,,STRENGTH_OR_COMBAT_SPORT,MEDIUM,,,,TO_REVIEW
KL27::alexis tchernychev,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Alexis Tchernychev,21.0,MALE,Ex-militaire,1.0,Ancien militaire : formation et activité opérationnelle physiquement exigeantes. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9 | Ancien militaire : formation et activité opérationnelle physiquement exigeantes.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL27::david murail,KL27,Koh-Lanta : Les Chasseurs d'Immunité,David Murail,36.0,MALE,Boucher-charcutier,1.0,"Boucher-charcutier : métier manuel exigeant manutention, station debout et gestes physiques répétés. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9 | Boucher-charcutier : métier manuel exigeant manutention, station debout et gestes physiques répétés.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL27::jean belmonte,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Jean Belmonte,26.0,MALE,Charpentier,1.0,Charpentier : métier manuel de chantier directement physique. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9 | Charpentier : métier manuel de chantier directement physique.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL27::léa notardonato,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Léa Notardonato,22.0,FEMALE,Infirmière secouriste,1.0,Infirmière secouriste : fonction opérationnelle impliquant interventions et contraintes physiques. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9 | Infirmière secouriste : fonction opérationnelle impliquant interventions et contraintes physiques.,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL27::pauline bonneil,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Pauline Bonneil,29.0,FEMALE,Fromagère,1.0,Fromagère : métier artisanal de production et manutention comportant une activité physique régulière. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9 | Fromagère : métier artisanal de production et manutention comportant une activité physique régulière.,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL27::steve grenier,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Steve Grenier,34.0,MALE,Approvisionneur de distributeurs automatiques,1.0,Approvisionnement de distributeurs : métier de terrain comprenant transport et manutention régulière. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9 | Approvisionnement de distributeurs : métier de terrain comprenant transport et manutention régulière.,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL27::sébastien cazaux,KL27,Koh-Lanta : Les Chasseurs d'Immunité,Sébastien Cazaux,30.0,MALE,Charpentier,1.0,Charpentier : métier manuel de chantier directement physique. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9 | Charpentier : métier manuel de chantier directement physique.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL27::william plancq,KL27,Koh-Lanta : Les Chasseurs d'Immunité,William Plancq,62.0,MALE,Instructeur de survie,1.0,Instructeur de survie : activité de terrain directement physique et techniquement exigeante. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_Chasseurs_d%27Immunit%C3%A9 | Instructeur de survie : activité de terrain directement physique et techniquement exigeante.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL29::jérôme#row20,KL29,Koh-Lanta : La Revanche des 4 Terres,Jérôme,52.0,MALE,Ex-militaire,1.0,Profession physique directe: Ex-militaire,,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL31::benoît assadi,KL31,Koh-Lanta : L'Île au trésor,Benoît Assadi,22.0,MALE,Entraîneur de football,1.0,Entraîneur de football et ancien candidat au football professionnel. Cet élément satisfait le critère positif.,"https://kohlanta.fandom.com/fr/wiki/Beno%C3%AEt_Assadi | Entraîneur de football et ancien candidat au football professionnel. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_L%27%C3%AEle_au_tr%C3%A9sor | Tableau de saison : 22 ans, profession Entraîneur de football.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
