season_id,season_name,candidate_name,age,physical_score,physical_positive_reason,physical_score_justification,physical_score_confidence,physical_score_reviewer_status,final_departure_cause
KL22,Koh-Lanta : La Guerre des Chefs,Sophie,34.0,1.0,DIRECT_PHYSICAL_PROFESSION,Kitesurfeuse : activité sportive exigeante indiquée comme profession ou activité principale. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL22,Koh-Lanta : La Guerre des Chefs,Victor,25.0,1.0,DIRECT_PHYSICAL_PROFESSION,Moniteur de parachutisme : profession directement liée à une activité physique et technique exigeante. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL22,Koh-Lanta : La Guerre des Chefs,Xavier,53.0,1.0,EXPLICIT_ATHLETIC_PROFILE,Son portrait le décrit explicitement comme « très sportif ». Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL25,Koh-Lanta : Le Totem Maudit,Anne-Sophie Mounier,34.0,1.0,DIRECT_PHYSICAL_PROFESSION,Coach sportive : profession directement liée à l’entraînement physique. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL25,Koh-Lanta : Le Totem Maudit,Franck Macia,52.0,1.0,MULTIPLE_QUALIFYING_INDICATORS,"Son portrait indique qu’il a été militaire et pompier, travaille dans la rénovation et le décrit comme sportif. Cet élément satisfait le critère positif.",HIGH,EXTERNAL_RESEARCH_VALIDATED,VOLUNTARY
KL25,Koh-Lanta : Le Totem Maudit,François Descamp,38.0,1.0,DIRECT_PHYSICAL_PROFESSION,Pompier : profession opérationnelle directement physique selon la méthodologie. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,CENSORED_WINNER
KL25,Koh-Lanta : Le Totem Maudit,Mattéo Real,20.0,1.0,HIGH_PHYSICAL_TRAINING,"Danseur classique depuis l’enfance, formé à l’École de l’Opéra de Paris puis au Conservatoire. Cet élément satisfait le critère positif.",HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL25,Koh-Lanta : Le Totem Maudit,Olga Khokhlova,35.0,1.0,DIRECT_PHYSICAL_PROFESSION,"Danseuse acrobate : profession directement physique exigeant entraînement, force et coordination. Cet élément satisfait le critère positif.",HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL25,Koh-Lanta : Le Totem Maudit,Samira Aït-Brahim,34.0,1.0,DIRECT_PHYSICAL_PROFESSION,Coach sportive : profession directement liée à l’entraînement physique. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL25,Koh-Lanta : Le Totem Maudit,Yannick Zachée,34.0,1.0,DIRECT_PHYSICAL_PROFESSION,Basketteur : activité sportive pratiquée comme profession ou activité principale. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL26,Koh-Lanta : Le Feu Sacré,Julie,33.0,1.0,STRENGTH_OR_COMBAT_SPORT,Sport exigeant documenté: Footballeuse,MEDIUM,A_REVOIR,FINALE_ORIENTATION
KL27,Koh-Lanta : Les Chasseurs d'Immunité,Amri Madani,42.0,1.0,STRICT_MANUAL_VALIDATED_POSITIVE,"Champion national, européen et mondial de boxe française et ancien sportif de haut niveau.",MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,FINALE_ORIENTATION
KL27,Koh-Lanta : Les Chasseurs d'Immunité,David Murail,36.0,1.0,DOCUMENTED_MUSCULAR_BUILD_OR_SPORT,Physique très musclé explicitement documenté et pratique du rugby.,MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,VOTE_CONSEIL
KL27,Koh-Lanta : Les Chasseurs d'Immunité,William Plancq,62.0,1.0,DIRECT_PHYSICAL_PROFESSION,Instructeur de survie : activité de terrain directement physique et techniquement exigeante. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL31,Koh-Lanta : L'Île au trésor,Benoît Assadi,22.0,1.0,DIRECT_PHYSICAL_PROFESSION,Entraîneur de football et ancien candidat au football professionnel. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,CENSORED_WINNER
KL31,Koh-Lanta : L'Île au trésor,Candice Boisson,19.0,1.0,ELITE_COMPETITIVE_SPORT,"Quintuple championne de France et vice-championne d’Europe de wakeboard, pratiquant au plus haut niveau. Cet élément satisfait le critère positif.",HIGH,EXTERNAL_RESEARCH_VALIDATED,ELIMINATION_CHALLENGE
KL31,Koh-Lanta : L'Île au trésor,Ludivine Wiart,31.0,1.0,EXPLICIT_SPORT_ACTIVITY,Son portrait la décrit explicitement comme joueuse de football. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL31,Koh-Lanta : L'Île au trésor,Yannick Delalleau,41.0,1.0,STRICT_MANUAL_VALIDATED_POSITIVE,Professeur de judo et de ju-jitsu avec une longue pratique martiale documentée.,MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,VOTE_CONSEIL
KL32,Koh-Lanta : Les 4 Terres,Alix,28.0,1.0,MULTIPLE_QUALIFYING_INDICATORS,Coach sportive et pompier volontaire : deux activités directement physiques. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL32,Koh-Lanta : Les 4 Terres,Bertrand-Kamal († décédé avant la finale),30.0,1.0,DIRECT_PHYSICAL_PROFESSION,Il a travaillé comme animateur sportif et pratiquait également la danse. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,ELIMINATION_CHALLENGE
KL32,Koh-Lanta : Les 4 Terres,Dorian,30.0,1.0,STRICT_MANUAL_VALIDATED_POSITIVE,"Athlète de haut niveau et champion de France du 3 000 m steeple, avec entraînement intensif et pratique compétitive.",MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,FINALE_ORIENTATION
KL32,Koh-Lanta : Les 4 Terres,Hadja,28.0,1.0,DIRECT_PHYSICAL_PROFESSION,Handballeuse : pratique sportive indiquée comme activité principale. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL32,Koh-Lanta : Les 4 Terres,Loïc,20.0,1.0,STRICT_MANUAL_VALIDATED_POSITIVE,Passion et pratique documentées des sports extrêmes avant Koh-Lanta.,MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,FINALE_POTEAUX
KL32,Koh-Lanta : Les 4 Terres,Mathieu,31.0,1.0,ELITE_COMPETITIVE_SPORT,Coureur professionnel : activité sportive exercée à niveau professionnel. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL33,Koh-Lanta : Les Armes secrètes,Jonathan,31.0,1.0,STRENGTH_OR_COMBAT_SPORT,Sport exigeant documenté: Moniteur d'escalade,MEDIUM,A_REVOIR,FINALE_POTEAUX
KL33,Koh-Lanta : Les Armes secrètes,Lucie,35.0,1.0,DIRECT_PHYSICAL_PROFESSION,Profession physique directe: Championne de MMA,MEDIUM,A_REVOIR,JURY_FINAL_DECISION
KL33,Koh-Lanta : Les Armes secrètes,Sylviane,44.0,1.0,DIRECT_PHYSICAL_PROFESSION,Profession physique directe: Maître-nageur,MEDIUM,A_REVOIR,VOTE_CONSEIL
